1~AUDI A6 2,4 (160083)~АЕ 83-44АТ~ 231,96    ~ 396,45    ~
42~ГАЗ 3309 автогідропідіймач  АП-18~АЕ 78-56СН~ 365,48    ~ 607,31    ~ 493,43    
43~ГАЗ 3309 автогідропідіймач  АП-18~АЕ 78-57СН~ 262,74    ~ 504,57    ~ 390,69    
44~ГАЗ 3309 автогідропідіймач АП-18~АЕ 93-22ЕТ~ 263,40    ~ 539,77    ~ 391,35    
45~ГАЗ 3309 ~АЕ 57-94АМ~ 237,72    ~ 502,58    ~
46~ГАЗ 3309 ~АЕ 64-78ВТ~ 227,43    ~ 492,29    ~
47~ГАЗ 53 грузовая бортовая~АЕ 73-20АЕ~ 225,92    ~ 542,94    ~
48~ГАЗ 5312 автогідропідіймач АП-17А~АЕ 78-08АК~ 267,19    ~ 640,82    ~ 398,02    
49~ГАЗ 66 ЭТЛ~АЕ 73-22АЕ~ 233,52    ~ 663,76    ~
50~ГАЗ 6611 МРСБ~АЕ 26-47АВ~ 225,93    ~ 622,20    ~ 326,57    
51~ГАЗ 6611 специальный (будка)~005-56АВ~ 225,94    ~ 644,85    ~ 351,74    
52~ГАЗ САЗ-3507~АЕ 26-51АВ~ 228,77    ~ 579,75    ~
53~ЗАЗ Lanos~АЕ 42-79ЕО~ 242,53    ~ 371,77    ~
54~ЗАЗ TF 69 YO~АЕ 42-73ЕХ~ 241,76    ~ 371,00    ~
55~ЗАЗ TF 69 YO~АЕ 42-75ЕХ~ 231,69    ~ 344,91    ~
56~ЗИЛ 130 автогідропідіймач АГП-22~438-01АА~ 252,13    ~ 795,59    ~ 458,44    
57~ЗИЛ 130 МШТС-3С~АЕ 73-21АЕ~ 251,80    ~ 727,32    ~ 352,44    
58~МАЗ 533702 автокран КС-45729~АЕ 04-17АХ~ 269,98    ~ 719,08    ~ 423,52    
59~МАЗ 543205 сидельний тягач с полуприцепом (МАЗ-938662-015 АЕ53-98ХТ)~АЕ 10-64ВН~ 247,74    ~ 685,33    ~
60~МАЗ 555102-223 самосвал~АЕ 06-25СК~ 238,77    ~ 618,78    ~
61~МАЗ СМК-101 автокран~АЕ 73-18АЕ~ 268,33    ~ 671,37    ~ 383,49    
62~САЗ 3507 ТВГ-15 спец. автовишка~453-49АА~ 251,70    ~ 591,36    ~ 374,98    
63~Трактор МТЗ-80 БМ-205~т 059-63АЕ~ 257,18    ~ 461,90    ~ 461,90    
64~Трактор Т 150К БКУ~т 059-59АЕ~ 256,49    ~ 640,34    ~ 640,34    
65~Трактор Т 150К БКУ~т 019-35 АЕ~ 262,75    ~ 646,60    ~ 646,60    
66~Трактор Т-40АМ ~т 059-62 АЕ~ 260,53    ~ 385,92    ~ 385,92    
67~Трактор ЭО-2621 ЮМЗ-6АКЛ ~т 059-65 АЕ~ 259,29    ~ 464,01    ~ 464,01    
68~Трактор  ЮМЗ-6АКЛ ~т 059-60 АЕ~ 252,95    ~ 380,90    ~ 534,44    
69~Трактор  ЮМЗ-6АКЛ ~т 019-34АЕ~ 251,71    ~ 418,05    ~ 418,05    
70~Трактор  ЮМЗ-6КЛ ЭО 2621~т 019-39АЕ~ 265,26    ~ 469,98    ~ 469,98    
71~Трактор  ЮМЗ-6КМ~т 059-61 АЕ~ 253,62    ~ 381,57    ~ 381,57    
72~Трактор  ЮМЗ-6 ЭО 2621~т 059-57 АЕ~ 259,33    ~ 464,05    ~ 464,05    
73~УАЗ 2206~041-34АЕ~ 236,96    ~ 474,72    ~
74~УАЗ 3303-01 ~АЕ 26-54АВ~ 225,92    ~ 441,04    ~
75~УАЗ 3909 "Фермер"~АЕ 24-86ВА~ 231,74    ~ 435,54    ~
76~Шкода-Oktavia~АЕ 30-02ВС~ 251,32    ~ 392,31    ~
77~Шкода-Oktavia~АЕ 89-09ВО~ 272,96    ~ 402,20    ~
78~Екскаватор "Борекс" ~т 059-66 АЕ~ 264,35    ~ 533,05    ~ 533,05    
79~Екскаватор "Борекс-2101" ~т 019-41 АЕ~ 264,75    ~ 533,45    ~ 533,45    
80~Екскаватор ЭО-2102~т 019-40 АЕ~ 263,31    ~ 532,01    ~ 532,01    
81~Екскаватор "Борекс-2101" ~т 019-42 АЕ~ 262,14    ~ 530,84    ~ 530,84    
82~ГАЗ 2705 ВП6~АЕ 30-74НЕ~ 253,61    ~ 491,37    ~
83~ГАЗ 3309 автогідропідіймач  АП-18~АЕ 30-68НЕ~ 289,72    ~ 531,55    ~ 417,67    
84~ЗАЗ TF 69 YO~АЕ 73-16НІ~ 247,61    ~ 360,83    ~
85~Шкода-Oktavia~АЕ 55-97НС~ 314,16    ~ 455,15    ~
86~ГАЗ 3309 автогідропідіймач  АП-18~АЕ 53-80НМ~ 299,22    ~ 541,05    ~ 427,17    
87~ЗАЗ TF 69 YO~АЕ 52-47НМ~ 245,13    ~ 374,37    ~
88~ГАЗ-27057 ВП 6~АЕ 37-28НМ~ 256,43    ~ 505,51    ~
89~ЗАЗ TF 69 YO~АЕ 99-60ЕО~ 252,40    ~ 376,94    ~
90~ЗАЗ TF 69 YO~АЕ 53-39ЕМ~ 243,28    ~ 367,82    ~
91~ЗАЗ TF 69 YO~АЕ 03-45НВ~ 251,09    ~ 375,63    ~
92~Шкода Super B~АЕ 68-73ІА~ 258,07    ~ 410,81    ~
93~ЗАЗ LANOS~АЕ 34-96CР~ 268,83    ~ 393,37    ~
94~Mistsubishi~АЕ 66-23НТ~ 254,82    ~ 478,06    ~
95~ЗАЗ LANOS~АЕ 02-44ІА~ 255,17    ~ 368,39    ~
96~Mistsubishi  L 200~АЕ 20-44ІА~ 306,17    ~ 444,36    ~
97~RENAULT LODGY~АЕ 29-16ІЕ~ 260,32    ~ 329,41    ~
98~RENAULT DOKKER~АЕ 29-06ІЕ ~ 275,21    ~ 380,96    ~
99~RENAULT LOGAN~АЕ 29-13ІЕ~ 262,71    ~ 356,71    ~
~~~~~
~~~~~
~~ ~~~
~~~~~
~Начальник економічного відділу____________________М.М.Рева~~~~
~~~~~
~~~~~
~~~~~
~~~~~
~~~~~
~Деревоподрібнююча машина DP 660T~~#ССЫЛ!~~#ССЫЛ!
